,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
VS - 01,24.0,24.5,24.0,11.0,13.0,10.5,14.0,13.5,21.0,32.5,29.5,26.0,18.5,20.0,21.0,23.0
VS - 02,22.0,24.0,22.5,12.0,12.0,9.0,8.5,12.0,27.0,31.0,29.0,24.5,17.5,18.5,18.0,21.0
VS - 03,16.5,19.5,19.0,9.0,8.0,6.0,5.5,7.5,17.0,17.5,20.0,16.0,6.0,8.5,8.0,11.5
VS - 04,31.0,31.5,34.0,15.0,13.0,23.5,22.0,16.0,29.0,31.5,34.5,30.5,21.5,14.0,12.5,20.0
VS - 05,33.5,34.5,35.0,13.5,17.5,24.0,22.0,18.0,23.5,27.0,28.0,21.5,16.0,16.5,17.0,16.5
VS - 06,38.0,42.5,41.0,30.0,29.0,29.0,28.5,30.0,38.5,40.0,39.5,36.0,30.0,29.5,30.5,31.5
VS - 07,30.5,31.5,30.5,12.0,14.5,11.0,22.5,14.0,21.0,25.5,23.5,23.5,14.5,15.5,14.0,16.0
VS - 08,28.5,22.5,24.0,8.5,13.0,9.5,10.5,12.5,17.5,23.0,24.5,17.5,11.0,12.5,11.5,14.5
VS - 09,37.5,41.0,39.5,19.0,29.5,29.0,30.0,20.5,36.5,41.0,41.0,36.0,27.0,29.0,28.5,30.0
VS - 10,44.5,45.5,45.0,33.5,34.5,34.0,35.0,33.5,40.5,46.0,44.0,40.5,33.5,34.0,35.0,35.5
VS - 11,41.0,41.5,43.5,31.0,31.5,30.0,31.5,32.0,38.0,41.5,43.5,37.5,29.5,31.5,32.0,33.0
VS - 12,31.0,31.0,30.0,19.5,19.0,19.5,17.5,21.5,36.0,37.0,39.5,25.0,19.0,19.5,19.5,23.0
VS - 13,34.5,35.0,30.0,16.5,19.5,24.0,24.5,16.0,27.5,27.0,35.5,31.0,24.5,19.0,15.5,18.5
VS - 14,31.0,29.0,31.0,16.0,17.0,17.0,18.0,19.5,25.5,38.0,37.5,34.5,26.0,27.0,25.5,27.5
VS - 15,46.5,46.5,45.5,36.5,35.5,35.5,36.5,37.5,44.5,47.0,47.0,43.5,35.0,34.5,36.0,38.0
VS - 16,34.5,35.0,34.5,17.5,18.0,17.5,16.5,17.5,23.0,27.5,37.0,31.5,23.5,25.5,24.0,27.5
VS - 17,34.0,31.5,33.0,22.0,24.5,23.5,20.0,23.5,29.5,39.0,40.0,37.5,28.5,30.5,20.0,27.0
VS - 18,37.0,40.0,36.5,17.5,19.5,26.0,27.5,19.0,27.5,33.0,32.0,27.5,19.5,20.0,20.5,21.5
VS - 19,38.0,35.5,37.5,23.5,28.5,23.5,25.0,26.5,36.0,43.0,44.0,41.5,33.0,28.0,27.0,31.0
VS - 20,16.5,20.0,16.5,7.0,10.0,8.0,6.5,6.0,17.0,16.5,19.0,15.5,5.5,5.5,6.0,9.0
